
Whale ID,Wallet Address,Whale Name,Total Portfolio ($),Asset,Direction,Position Size ($),Amount,PnL ($),PnL %,Leverage,Entry Price,Current Price,Weekly PnL ($),Win Rate (%),Avg Trade Size ($),Risk Score,Last Active,Confidence
whale_001,0x5b5d..60,Multi-Asset Whale #1,"477,210,000",BTC,SHORT,"227,300,000",2.20K BTC,"7,520,000",3.31,10X,"106,794.10","103,358","34,330,000",85.7,"119,305,000",8.5,16:18 05-09,94
whale_001,0x5b5d..60,Multi-Asset Whale #1,"477,210,000",ETH,SHORT,"155,580,000",64.45K ETH,"12,830,000",8.25,10X,"2,613.03","2,413.30","34,330,000",85.7,"119,305,000",8.5,16:18 05-09,94
whale_001,0x5b5d..60,Multi-Asset Whale #1,"477,210,000",HYPE,SHORT,"52,640,000",1.53M HYPE,"5,960,000",11.33,5X,38.2671,34.37,"34,330,000",85.7,"119,305,000",8.5,16:18 05-09,94
whale_001,0x5b5d..60,Multi-Asset Whale #1,"477,210,000",SOL,SHORT,"41,700,000",299.82K SOL,"8,020,000",19.23,10X,165.8081,139.03,"34,330,000",85.7,"119,305,000",8.5,16:18 05-09,94
whale_002,0xb83d..36,Consistent Shorter,"253,570,000",BTC,SHORT,"115,760,000",1.12K BTC,"5,390,000",4.65,10X,"108,201","103,358","18,600,000",82.3,"84,523,333",7.8,10:01 05-09,91
whale_002,0xb83d..36,Consistent Shorter,"253,570,000",ETH,SHORT,"121,780,000",50.43K ETH,"10,940,000",8.98,10X,"2,631.76","2,413.30","18,600,000",82.3,"84,523,333",7.8,10:01 05-09,91
whale_002,0xb83d..36,Consistent Shorter,"253,570,000",HYPE,SHORT,"16,030,000",466.30K HYPE,"2,270,000",14.17,5X,39.2517,34.37,"18,600,000",82.3,"84,523,333",7.8,10:01 05-09,91
whale_003,0x51d9..21,High Leverage BTC Trader,"114,840,000",BTC,SHORT,"114,840,000",1.11K BTC,"4,900,000",4.26,40X,"107,766.30","103,358","4,900,000",78.5,"114,840,000",9.2,20:18 06-12,87
whale_004,0x5d2f..b7,Conservative High Volume,"104,140,000",BTC,SHORT,"104,140,000",1.01K BTC,"5,100,000",4.89,40X,"108,467.10","103,358","5,100,000",80.1,"104,140,000",8.9,09:58 05-09,88
whale_005,0x7e8b..2c,BTC Long Contrarian,"73,290,000",BTC,LONG,"73,290,000",709.04 BTC,"164,220",0.22,40X,"103,133.30","103,358","164,220",75.2,"73,290,000",8.7,17:18 06-20,72
whale_006,0xcb92..13,ETH Specialist,"96,570,000",ETH,SHORT,"96,570,000",40.00K ETH,"15,180,000",15.72,10X,"2,793.81","2,413.30","15,180,000",86.4,"96,570,000",7.5,09:18 06-11,93
whale_007,0x045b..9f,HYPE Long Specialist,"18,140,000",HYPE,LONG,"18,140,000",528.63K HYPE,"8,400,000",46.3,4X,18.4277,34.37,"8,400,000",91.2,"18,140,000",6.8,22:47 03-21,96
whale_008,0xbca6..fe,SOL Short Master,"13,990,000",SOL,SHORT,"13,990,000",100.62K SOL,"1,510,000",10.8,20X,154.0618,139.03,"1,510,000",83.7,"13,990,000",8.1,23:11 05-25,89
